Run,Age,BioSample,Developmental_stage,Ecotype,Experimental_Factor:_developmental_stage (exp),Experimental_Factor:_organism_part (exp),Experimental_Factor:_sampling_site (exp),External_Id,Genotype,organism_part,Organism,Sampling_site
ERR3333388,28 to 35,SAMEA5618890,flower stage 15,Col-0,flower stage 15,sepal,not applicable,SAMEA5618890,wild type genotype,sepal,Arabidopsis thaliana,NA
ERR3333389,30,SAMEA5618891,adult,Col-0,adult,stem node,first node,SAMEA5618891,wild type genotype,stem node,Arabidopsis thaliana,first node
ERR3333390,30,SAMEA5618892,adult,Col-0,adult,stem internode,second internode,SAMEA5618892,wild type genotype,stem internode,Arabidopsis thaliana,second internode
ERR3333391,30,SAMEA5618893,adult,Col-0,adult,cauline leaf,not applicable,SAMEA5618893,wild type genotype,cauline leaf,Arabidopsis thaliana,NA
ERR3333392,22,SAMEA5618894,adult,Col-0,adult,rosette leaf,rosette leaf 7 distal part,SAMEA5618894,wild type genotype,rosette leaf,Arabidopsis thaliana,rosette leaf 7 distal part
ERR3333393,22,SAMEA5618895,adult,Col-0,adult,rosette leaf,rosette leaf 7 proximal part,SAMEA5618895,wild type genotype,rosette leaf,Arabidopsis thaliana,rosette leaf 7 proximal part
ERR3333394,22,SAMEA5618896,adult,Col-0,adult,petiole,rosette leaf 7 petiole,SAMEA5618896,wild type genotype,petiole,Arabidopsis thaliana,rosette leaf 7 petiole
ERR3333395,35,SAMEA5618897,adult,Col-0,adult,adult vascular leaf,not applicable,SAMEA5618897,wild type genotype,adult vascular leaf,Arabidopsis thaliana,NA
ERR3333396,22,SAMEA5618898,adult,Col-0,adult,root,not applicable,SAMEA5618898,wild type genotype,root,Arabidopsis thaliana,NA
ERR3333397,28 to 35,SAMEA5618899,flower stage 15,Col-0,flower stage 15,flower pedicel,not applicable,SAMEA5618899,wild type genotype,flower pedicel,Arabidopsis thaliana,NA
