Run,BioSample,Ecotype,Organism,Sample Name,Tissue,dev_stage,Age,Treatment
SRR3581696,SAMN05170739,Col-0 (CS70000),Arabidopsis thaliana,Flower 4 (F4),Flower 4,anthesis of the first flower,NA,NA
SRR3581697,SAMN05170740,Col-0 (CS70000),Arabidopsis thaliana,Flower 5 (F5),Flower 5,anthesis of the first flower,NA,NA
SRR3581863,SAMN05170740,Col-0 (CS70000),Arabidopsis thaliana,Flower 5 (F5),Flower 5,anthesis of the first flower,NA,NA
SRR3581698,SAMN05170741,Col-0 (CS70000),Arabidopsis thaliana,Flowers 6-8 (F6-8),Flower 6-8,anthesis of the first flower,NA,NA
SRR3581864,SAMN05170741,Col-0 (CS70000),Arabidopsis thaliana,Flowers 6-8 (F6-8),Flower 6-8,anthesis of the first flower,NA,NA
SRR3581699,SAMN05170742,Col-0 (CS70000),Arabidopsis thaliana,Flowers 9-11 (F9-11),Flower 9-11,anthesis of the first flower,NA,NA
SRR3581865,SAMN05170742,Col-0 (CS70000),Arabidopsis thaliana,Flowers 9-11 (F9-11),Flower 9-11,anthesis of the first flower,NA,NA
SRR3581700,SAMN05170743,Col-0 (CS70000),Arabidopsis thaliana,Flowers 12-14 (F12-14),Flower 12-14,anthesis of the first flower,NA,NA
SRR3581866,SAMN05170743,Col-0 (CS70000),Arabidopsis thaliana,Flowers 12-14 (F12-14),Flower 12-14,anthesis of the first flower,NA,NA
SRR3581701,SAMN05170744,Col-0 (CS70000),Arabidopsis thaliana,Flowers 15-18 (F15-18),Flower 15-18,anthesis of the first flower,NA,NA
SRR3581867,SAMN05170744,Col-0 (CS70000),Arabidopsis thaliana,Flowers 15-18 (F15-18),Flower 15-18,anthesis of the first flower,NA,NA
SRR3581702,SAMN05170745,Col-0 (CS70000),Arabidopsis thaliana,Flowers 19 and following (F19+),Inflorescence,anthesis of the first flower,NA,NA
SRR3581868,SAMN05170745,Col-0 (CS70000),Arabidopsis thaliana,Flowers 19 and following (F19+),Inflorescence,anthesis of the first flower,NA,NA
SRR3581703,SAMN05170746,Col-0 (CS70000),Arabidopsis thaliana,Pedicel (PED),Pedicel,anthesis of the first flower,NA,NA
SRR3581869,SAMN05170746,Col-0 (CS70000),Arabidopsis thaliana,Pedicel (PED),Pedicel,anthesis of the first flower,NA,NA
SRR3581704,SAMN05170747,Col-0 (CS70000),Arabidopsis thaliana,Axis of the inflorescence (AX),Inflorescence axis,anthesis of the first flower,NA,NA
SRR3581870,SAMN05170747,Col-0 (CS70000),Arabidopsis thaliana,Axis of the inflorescence (AX),Inflorescence axis,anthesis of the first flower,NA,NA
SRR3581705,SAMN05170748,Col-0 (CS70000),Arabidopsis thaliana,Internode (IN),Internode,anthesis of the first flower,NA,NA
SRR3581871,SAMN05170748,Col-0 (CS70000),Arabidopsis thaliana,Internode (IN),Internode,anthesis of the first flower,NA,NA
SRR3581706,SAMN05170749,Col-0 (CS70000),Arabidopsis thaliana,Seeds 1 (SD1),Seed 1,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581872,SAMN05170749,Col-0 (CS70000),Arabidopsis thaliana,Seeds 1 (SD1),Seed 1,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581707,SAMN05170750,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 1 (POD1),Pod 1,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581873,SAMN05170750,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 1 (POD1),Pod 1,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581708,SAMN05170751,Col-0 (CS70000),Arabidopsis thaliana,Silique 2 (SL2),Silique 2,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581874,SAMN05170751,Col-0 (CS70000),Arabidopsis thaliana,Silique 2 (SL2),Silique 2,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581709,SAMN05170752,Col-0 (CS70000),Arabidopsis thaliana,Seeds 3 (SD3),Seed 3,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581875,SAMN05170752,Col-0 (CS70000),Arabidopsis thaliana,Seeds 3 (SD3),Seed 3,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
SRR3581710,SAMN05170753,Col-0 (CS70000),Arabidopsis thaliana,Pod of the silique 3 (POD3),Pod 3,first silique is 1-1.5 cm long (abscission of the 8th flower),NA,NA
